model,seed_size,random_seed,upos_acc,per_tag_f1_json
gerulata/slovakbert,50,0,0.9009,"{""ADJ"": 0.904, ""ADP"": 0.9224, ""ADV"": 0.7072, ""AUX"": 0.9517, ""CCONJ"": 0.901, ""DET"": 0.8562, ""INTJ"": 0.0, ""NOUN"": 0.9366, ""NUM"": 0.866, ""PART"": 0.4611, ""PRON"": 0.8039, ""PROPN"": 0.779, ""PUNCT"": 0.9925, ""SCONJ"": 0.9101, ""SYM"": 0.8251, ""VERB"": 0.9364, ""X"": 0.6203}"
gerulata/slovakbert,50,1,0.8916,"{""ADJ"": 0.8917, ""ADP"": 0.898, ""ADV"": 0.6899, ""AUX"": 0.8632, ""CCONJ"": 0.8989, ""DET"": 0.8526, ""INTJ"": 0.0, ""NOUN"": 0.929, ""NUM"": 0.9146, ""PART"": 0.5239, ""PRON"": 0.682, ""PROPN"": 0.7897, ""PUNCT"": 0.9991, ""SCONJ"": 0.9138, ""SYM"": 0.9355, ""VERB"": 0.9329, ""X"": 0.7003}"
gerulata/slovakbert,50,2,0.8998,"{""ADJ"": 0.9005, ""ADP"": 0.9211, ""ADV"": 0.6836, ""AUX"": 0.9096, ""CCONJ"": 0.8956, ""DET"": 0.8487, ""INTJ"": 0.0, ""NOUN"": 0.9389, ""NUM"": 0.9133, ""PART"": 0.3963, ""PRON"": 0.7687, ""PROPN"": 0.7858, ""PUNCT"": 0.9993, ""SCONJ"": 0.8879, ""SYM"": 0.9444, ""VERB"": 0.9288, ""X"": 0.7338}"
xlm-roberta-base,50,0,0.9451,"{""ADJ"": 0.9483, ""ADP"": 0.9898, ""ADV"": 0.8002, ""AUX"": 0.9767, ""CCONJ"": 0.9281, ""DET"": 0.9069, ""INTJ"": 0.0, ""NOUN"": 0.9725, ""NUM"": 0.936, ""PART"": 0.6574, ""PRON"": 0.9104, ""PROPN"": 0.8275, ""PUNCT"": 0.9975, ""SCONJ"": 0.9326, ""SYM"": 0.9306, ""VERB"": 0.9783, ""X"": 0.6885}"
xlm-roberta-base,50,1,0.9354,"{""ADJ"": 0.9478, ""ADP"": 0.9815, ""ADV"": 0.7606, ""AUX"": 0.9728, ""CCONJ"": 0.9173, ""DET"": 0.8697, ""INTJ"": 0.0, ""NOUN"": 0.9681, ""NUM"": 0.9559, ""PART"": 0.5977, ""PRON"": 0.8159, ""PROPN"": 0.8104, ""PUNCT"": 0.9986, ""SCONJ"": 0.8976, ""SYM"": 0.9435, ""VERB"": 0.9847, ""X"": 0.7259}"
xlm-roberta-base,50,2,0.9357,"{""ADJ"": 0.931, ""ADP"": 0.9821, ""ADV"": 0.7824, ""AUX"": 0.9892, ""CCONJ"": 0.9057, ""DET"": 0.8997, ""INTJ"": 0.0, ""NOUN"": 0.9602, ""NUM"": 0.9635, ""PART"": 0.5837, ""PRON"": 0.8679, ""PROPN"": 0.8033, ""PUNCT"": 0.9985, ""SCONJ"": 0.9054, ""SYM"": 0.9249, ""VERB"": 0.9617, ""X"": 0.7386}"
gerulata/slovakbert,100,0,0.9232,"{""ADJ"": 0.9206, ""ADP"": 0.9418, ""ADV"": 0.751, ""AUX"": 0.9352, ""CCONJ"": 0.912, ""DET"": 0.9069, ""INTJ"": 0.0, ""NOUN"": 0.9504, ""NUM"": 0.9408, ""PART"": 0.5754, ""PRON"": 0.8118, ""PROPN"": 0.8321, ""PUNCT"": 0.9978, ""SCONJ"": 0.9286, ""SYM"": 0.9393, ""VERB"": 0.9572, ""X"": 0.7628}"
gerulata/slovakbert,100,1,0.9261,"{""ADJ"": 0.9251, ""ADP"": 0.9396, ""ADV"": 0.7611, ""AUX"": 0.9724, ""CCONJ"": 0.9111, ""DET"": 0.8932, ""INTJ"": 0.0, ""NOUN"": 0.9518, ""NUM"": 0.937, ""PART"": 0.5873, ""PRON"": 0.8331, ""PROPN"": 0.83, ""PUNCT"": 0.9991, ""SCONJ"": 0.9512, ""SYM"": 0.9355, ""VERB"": 0.9568, ""X"": 0.7734}"
gerulata/slovakbert,100,2,0.9287,"{""ADJ"": 0.9344, ""ADP"": 0.9378, ""ADV"": 0.747, ""AUX"": 0.9782, ""CCONJ"": 0.9216, ""DET"": 0.9034, ""INTJ"": 0.0, ""NOUN"": 0.9524, ""NUM"": 0.9385, ""PART"": 0.5543, ""PRON"": 0.8459, ""PROPN"": 0.8436, ""PUNCT"": 0.9995, ""SCONJ"": 0.9146, ""SYM"": 0.9478, ""VERB"": 0.9612, ""X"": 0.7876}"
xlm-roberta-base,100,0,0.9551,"{""ADJ"": 0.9593, ""ADP"": 0.9908, ""ADV"": 0.8201, ""AUX"": 0.9905, ""CCONJ"": 0.9344, ""DET"": 0.9315, ""INTJ"": 0.0, ""NOUN"": 0.9752, ""NUM"": 0.9605, ""PART"": 0.6758, ""PRON"": 0.9146, ""PROPN"": 0.8626, ""PUNCT"": 0.9964, ""SCONJ"": 0.9386, ""SYM"": 0.9435, ""VERB"": 0.9879, ""X"": 0.8182}"
