threshold,token_coverage,accuracy_of_accepted
0.5,0.9955,0.9602
0.51,0.9951,0.9604
0.52,0.9946,0.9606
0.53,0.9942,0.9609
0.54,0.9937,0.9611
0.55,0.9931,0.9614
0.56,0.9925,0.9616
0.57,0.9918,0.9619
0.58,0.991,0.9622
0.59,0.9906,0.9624
0.6,0.99,0.9627
0.61,0.9894,0.963
0.62,0.9888,0.9633
0.63,0.9882,0.9635
0.64,0.9874,0.9639
0.65,0.9867,0.9641
0.66,0.986,0.9645
0.67,0.985,0.9649
0.68,0.9842,0.9653
0.69,0.9835,0.9656
0.7,0.9825,0.966
0.71,0.9817,0.9663
0.72,0.9808,0.9665
0.73,0.9799,0.9671
0.74,0.9789,0.9675
0.75,0.9779,0.9677
0.76,0.977,0.968
0.77,0.9762,0.9683
0.78,0.9749,0.9687
0.79,0.9738,0.969
0.8,0.9728,0.9694
0.81,0.9714,0.9699
0.82,0.97,0.9703
0.83,0.9688,0.9708
0.84,0.9672,0.9712
0.85,0.9657,0.9717
0.86,0.9639,0.9722
0.87,0.9621,0.9728
0.88,0.9596,0.9734
0.89,0.9564,0.9741
0.9,0.9519,0.975
0.91,0.9472,0.9759
0.92,0.9422,0.9768
0.93,0.9354,0.9781
0.94,0.9264,0.9794
0.95,0.9141,0.9812
0.96,0.8898,0.9835
0.97,0.7668,0.986
0.98,0.6365,0.9895
0.99,0.0,
