notebook,key,seconds
01,prep_cs,31.9
02,gerulata/slovakbert|50|0,89.7
02,gerulata/slovakbert|50|1,60.8
02,gerulata/slovakbert|50|2,60.3
02,xlm-roberta-base|50|0,99.8
02,xlm-roberta-base|50|1,85.7
02,xlm-roberta-base|50|2,85.8
02,gerulata/slovakbert|100|0,72.0
02,gerulata/slovakbert|100|1,73.9
02,gerulata/slovakbert|100|2,75.5
02,xlm-roberta-base|100|0,103.6
02,xlm-roberta-base|100|1,104.9
02,xlm-roberta-base|100|2,106.6
02,gerulata/slovakbert|200|0,73.9
02,gerulata/slovakbert|200|1,75.4
02,gerulata/slovakbert|200|2,74.9
02,xlm-roberta-base|200|0,105.4
02,xlm-roberta-base|200|1,106.0
02,xlm-roberta-base|200|2,106.3
02,gerulata/slovakbert|400|0,73.5
02,gerulata/slovakbert|400|1,74.0
02,gerulata/slovakbert|400|2,74.7
02,xlm-roberta-base|400|0,104.4
02,xlm-roberta-base|400|1,104.7
02,xlm-roberta-base|400|2,105.7
02,gerulata/slovakbert|800|0,73.3
02,gerulata/slovakbert|800|1,74.9
02,gerulata/slovakbert|800|2,75.8
02,xlm-roberta-base|800|0,104.4
02,xlm-roberta-base|800|1,105.7
02,xlm-roberta-base|800|2,106.3
03,"sizes[200, 400]",150.0
04,s200|rs0|round0,134.5
04,s200|rs0|round1,294.3
04,s200|rs0|round2,295.6
04,s200|rs1|round0,137.4
04,s200|rs1|round1,297.5
04,s200|rs1|round2,297.8
04,s200|rs2|round0,136.1
04,s200|rs2|round1,295.2
04,s200|rs2|round2,296.8
04,s400|rs0|round0,133.3
04,s400|rs0|round1,298.7
04,s400|rs0|round2,298.9
04,s400|rs0|round3,239.3
04,s400|rs1|round0,133.8
04,s400|rs1|round1,298.9
04,s400|rs1|round2,298.7
04,s400|rs1|round3,239.0
04,s400|rs2|round0,134.3
04,s400|rs2|round1,298.1
04,s400|rs2|round2,297.7
04,s400|rs2|round3,239.1
05,report,181.4
