seed_size,round,random_seed,n_silver_tokens,upos_acc
200,0,0,0,0.9425
200,1,0,138594,0.9144
200,2,0,146662,0.8977
200,0,1,0,0.9418
200,1,1,133150,0.9227
200,2,1,140237,0.9112
200,0,2,0,0.9503
200,1,2,132995,0.9208
200,2,2,139999,0.9064
400,0,0,0,0.9577
400,1,0,182289,0.9559
400,2,0,190131,0.956
400,3,0,192849,0.9563
400,0,1,0,0.9578
400,1,1,184848,0.9627
400,2,1,192075,0.9652
400,3,1,194064,0.9657
400,0,2,0,0.9599
400,1,2,185116,0.963
400,2,2,192950,0.9638
400,3,2,195051,0.9644
