risk_budget,accepted_sentences,coverage,empirical_failure_risk,mean_predicted_failure_risk,accepted_high_quality_yield
0.01,212,0.010502,0.009434,0.049548,0.010403
0.02,542,0.026849,0.018450,0.050135,0.026354
0.03,1646,0.081538,0.029769,0.051361,0.079110
0.04,4984,0.246892,0.039928,0.053590,0.237034
0.05,9561,0.473622,0.049995,0.058607,0.449943
0.06,10790,0.534502,0.059963,0.063297,0.502452
0.07,11537,0.571506,0.069949,0.067406,0.531530
0.08,12159,0.602318,0.079941,0.071635,0.554169
0.09,12696,0.628920,0.089950,0.076024,0.572349
0.10,13317,0.659682,0.099947,0.082098,0.593748
0.11,13901,0.688611,0.109992,0.089005,0.612870
0.12,14352,0.710953,0.119983,0.095211,0.625650
0.13,14873,0.736761,0.129967,0.103290,0.641007
0.14,15363,0.761034,0.139947,0.111663,0.654530
0.15,15847,0.785010,0.149997,0.120668,0.667261
0.16,16335,0.809184,0.159963,0.130373,0.679744
0.17,16800,0.832219,0.170000,0.140197,0.690742
0.18,17276,0.855798,0.179961,0.150853,0.701788
0.19,17755,0.879526,0.189975,0.162150,0.712439
0.20,18180,0.900580,0.200000,0.172687,0.720464
0.21,18643,0.923515,0.209998,0.184746,0.729578
0.22,19076,0.944965,0.219962,0.196559,0.737108
0.23,19523,0.967108,0.229985,0.209272,0.744687
0.24,19976,0.989548,0.239988,0.222958,0.752068
0.25,20187,1.000000,0.245356,0.230096,0.754644
