model,seed_size,random_seed,upos_acc,per_tag_f1_json
xlm-roberta-base,50,0,0.7807,"{""ADJ"": 0.4593, ""ADP"": 0.9058, ""ADV"": 0.355, ""AUX"": 0.9024, ""CCONJ"": 0.8889, ""DET"": 0.9541, ""INTJ"": 0.3077, ""NOUN"": 0.7618, ""NUM"": 0.8217, ""PART"": 0.956, ""PRON"": 0.7523, ""PROPN"": 0.1404, ""PUNCT"": 0.9843, ""SCONJ"": 0.9344, ""SYM"": 0.0, ""VERB"": 0.7886, ""X"": 0.0}"
xlm-roberta-base,50,1,0.7885,"{""ADJ"": 0.4996, ""ADP"": 0.9099, ""ADV"": 0.377, ""AUX"": 0.8923, ""CCONJ"": 0.934, ""DET"": 0.9564, ""INTJ"": 0.1538, ""NOUN"": 0.7537, ""NUM"": 0.713, ""PART"": 0.9231, ""PRON"": 0.771, ""PROPN"": 0.1611, ""PUNCT"": 0.9843, ""SCONJ"": 0.9165, ""SYM"": 0.0, ""VERB"": 0.7775, ""X"": 0.0}"
xlm-roberta-base,50,2,0.7991,"{""ADJ"": 0.5325, ""ADP"": 0.9024, ""ADV"": 0.4318, ""AUX"": 0.9191, ""CCONJ"": 0.9289, ""DET"": 0.9623, ""INTJ"": 0.0, ""NOUN"": 0.7643, ""NUM"": 0.8519, ""PART"": 0.9368, ""PRON"": 0.8156, ""PROPN"": 0.1297, ""PUNCT"": 0.9843, ""SCONJ"": 0.9361, ""SYM"": 0.0, ""VERB"": 0.7712, ""X"": 0.0816}"
xlm-roberta-base,100,0,0.8147,"{""ADJ"": 0.5219, ""ADP"": 0.9329, ""ADV"": 0.4299, ""AUX"": 0.9333, ""CCONJ"": 0.9444, ""DET"": 0.9624, ""INTJ"": 0.6316, ""NOUN"": 0.7796, ""NUM"": 0.8981, ""PART"": 0.9565, ""PRON"": 0.8397, ""PROPN"": 0.2258, ""PUNCT"": 0.9843, ""SCONJ"": 0.9572, ""SYM"": 0.0, ""VERB"": 0.8125, ""X"": 0.0714}"
xlm-roberta-base,100,1,0.8237,"{""ADJ"": 0.5205, ""ADP"": 0.9382, ""ADV"": 0.4797, ""AUX"": 0.9352, ""CCONJ"": 0.9643, ""DET"": 0.9699, ""INTJ"": 0.7368, ""NOUN"": 0.7769, ""NUM"": 0.9173, ""PART"": 0.9468, ""PRON"": 0.8486, ""PROPN"": 0.3607, ""PUNCT"": 0.9838, ""SCONJ"": 0.9531, ""SYM"": 0.0, ""VERB"": 0.8126, ""X"": 0.0}"
xlm-roberta-base,100,2,0.8248,"{""ADJ"": 0.5617, ""ADP"": 0.9253, ""ADV"": 0.5106, ""AUX"": 0.95, ""CCONJ"": 0.9444, ""DET"": 0.974, ""INTJ"": 0.2667, ""NOUN"": 0.7936, ""NUM"": 0.9118, ""PART"": 0.9468, ""PRON"": 0.8646, ""PROPN"": 0.1952, ""PUNCT"": 0.9843, ""SCONJ"": 0.943, ""SYM"": 0.4, ""VERB"": 0.8091, ""X"": 0.05}"
xlm-roberta-base,200,0,0.8395,"{""ADJ"": 0.6139, ""ADP"": 0.939, ""ADV"": 0.4953, ""AUX"": 0.9518, ""CCONJ"": 0.9743, ""DET"": 0.9711, ""INTJ"": 0.6316, ""NOUN"": 0.819, ""NUM"": 0.9304, ""PART"": 0.956, ""PRON"": 0.8543, ""PROPN"": 0.2514, ""PUNCT"": 0.9849, ""SCONJ"": 0.9436, ""SYM"": 0.8, ""VERB"": 0.8382, ""X"": 0.0784}"
xlm-roberta-base,200,1,0.8576,"{""ADJ"": 0.6392, ""ADP"": 0.9518, ""ADV"": 0.5593, ""AUX"": 0.9536, ""CCONJ"": 0.9628, ""DET"": 0.975, ""INTJ"": 0.4, ""NOUN"": 0.8262, ""NUM"": 0.9203, ""PART"": 0.9674, ""PRON"": 0.8804, ""PROPN"": 0.4031, ""PUNCT"": 0.9882, ""SCONJ"": 0.9651, ""SYM"": 0.7273, ""VERB"": 0.8583, ""X"": 0.0513}"
xlm-roberta-base,200,2,0.8484,"{""ADJ"": 0.6237, ""ADP"": 0.9374, ""ADV"": 0.5316, ""AUX"": 0.9507, ""CCONJ"": 0.9595, ""DET"": 0.9822, ""INTJ"": 0.1667, ""NOUN"": 0.8274, ""NUM"": 0.9225, ""PART"": 0.9468, ""PRON"": 0.8891, ""PROPN"": 0.3047, ""PUNCT"": 0.9968, ""SCONJ"": 0.9574, ""SYM"": 0.5714, ""VERB"": 0.8402, ""X"": 0.0}"
xlm-roberta-base,400,0,0.8624,"{""ADJ"": 0.6774, ""ADP"": 0.9566, ""ADV"": 0.5532, ""AUX"": 0.9422, ""CCONJ"": 0.976, ""DET"": 0.9764, ""INTJ"": 0.1667, ""NOUN"": 0.8423, ""NUM"": 0.9382, ""PART"": 0.9474, ""PRON"": 0.8853, ""PROPN"": 0.3723, ""PUNCT"": 0.9952, ""SCONJ"": 0.9541, ""SYM"": 0.8, ""VERB"": 0.8592, ""X"": 0.1176}"
