threshold,token_coverage,accuracy_of_accepted
0.5,0.9688,0.9009
0.51,0.9668,0.9019
0.52,0.9638,0.9034
0.53,0.9626,0.9041
0.54,0.9602,0.9046
0.55,0.9579,0.9058
0.56,0.955,0.9074
0.57,0.9524,0.9088
0.58,0.9503,0.9097
0.59,0.9482,0.9106
0.6,0.9445,0.9125
0.61,0.9428,0.913
0.62,0.9396,0.9142
0.63,0.9376,0.9154
0.64,0.9347,0.917
0.65,0.9327,0.9178
0.66,0.9302,0.9188
0.67,0.9278,0.92
0.68,0.9253,0.9211
0.69,0.9227,0.9221
0.7,0.9199,0.9231
0.71,0.9176,0.9234
0.72,0.9142,0.9249
0.73,0.9112,0.9261
0.74,0.9092,0.9273
0.75,0.9067,0.9283
0.76,0.9042,0.9291
0.77,0.9011,0.93
0.78,0.8977,0.9309
0.79,0.8945,0.9323
0.8,0.8908,0.9336
0.81,0.8861,0.9355
0.82,0.8828,0.9367
0.83,0.8785,0.9383
0.84,0.8742,0.9391
0.85,0.8692,0.9403
0.86,0.8657,0.9417
0.87,0.8606,0.943
0.88,0.8549,0.9446
0.89,0.848,0.9466
0.9,0.8425,0.9481
0.91,0.8357,0.9501
0.92,0.8262,0.9519
0.93,0.817,0.9548
0.94,0.8067,0.9576
0.95,0.7914,0.9594
0.96,0.7721,0.9637
0.97,0.7493,0.9681
0.98,0.7099,0.9735
0.99,0.6353,0.9813
