notebook,key,seconds
01,prep,0.6
02,xlm-roberta-base|50|0,100.0
02,xlm-roberta-base|50|1,77.9
02,xlm-roberta-base|50|2,75.3
02,xlm-roberta-base|100|0,96.0
02,xlm-roberta-base|100|1,101.5
02,xlm-roberta-base|100|2,93.2
02,xlm-roberta-base|200|0,97.2
02,xlm-roberta-base|200|1,101.1
02,xlm-roberta-base|200|2,94.9
02,xlm-roberta-base|400|0,96.9
02,xlm-roberta-base|400|1,98.5
02,xlm-roberta-base|400|2,96.1
02,xlm-roberta-base|800|0,97.7
02,xlm-roberta-base|800|1,98.3
02,xlm-roberta-base|800|2,98.8
02,CAMeL-Lab/bert-base-arabic-camelbert-mix|400|0,63.1
02,CAMeL-Lab/bert-base-arabic-camelbert-mix|400|1,56.6
02,CAMeL-Lab/bert-base-arabic-camelbert-mix|400|2,55.4
03,size800,133.0
04,rs0|round0,107.7
04,rs0|round1,108.4
04,rs0|round2,109.6
04,rs0|round3,107.6
04,rs1|round0,98.6
04,rs1|round1,109.6
04,rs1|round2,109.6
04,rs1|round3,107.3
04,rs2|round0,98.6
04,rs2|round1,109.3
04,rs2|round2,109.7
04,rs2|round3,107.8
05,report,161.5
